age,assists,assists_per90,cards_red,cards_yellow,club,games,games_starts,goals,goals_assists,goals_assists_pens_per90,goals_assists_per90,goals_pens,goals_pens_per90,goals_per90,minutes,minutes_90s,nationality,npxg,npxg_per90,npxg_xg_assist,npxg_xg_assist_per90,pens_att,pens_made,player,position,progressive_carries,progressive_passes,progressive_passes_received,xg,xg_assist,xg_assist_per90,xg_per90,xg_xg_assist_per90
32,18,0.48,0,1,Liverpool,38,38,29,47,1.01,1.25,20,0.53,0.77,3371,37.5,EGY,18.2,0.49,32.4,0.87,9,9,Mohamed Salah,FW,155,144,488,25.2,14.2,0.38,0.67,1.05
33,1,0.03,0,5,Liverpool,37,37,3,4,0.11,0.11,3,0.08,0.08,3330,37.0,NED,2.2,0.06,3.0,0.08,0,0,Virgil van Dijk,DF,22,198,6,2.2,0.7,0.02,0.06,0.08
22,4,0.11,1,6,Liverpool,37,37,0,4,0.11,0.11,0,0.0,0.0,3160,35.1,NED,1.1,0.03,4.2,0.12,0,0,Ryan Gravenberch,MF,70,181,55,1.1,3.1,0.09,0.03,0.12
25,5,0.17,0,6,Liverpool,35,30,5,10,0.35,0.35,5,0.17,0.17,2599,28.9,ARG,2.8,0.1,7.5,0.26,0,0,Alexis Mac Allister,MF,36,177,80,2.8,4.7,0.16,0.1,0.26
25,2,0.07,0,5,Liverpool,31,30,1,3,0.11,0.11,1,0.04,0.04,2560,28.4,FRA,1.7,0.06,2.7,0.1,0,0,Ibrahima Konaté,DF,25,115,3,1.7,1.0,0.03,0.06,0.1
23,6,0.22,0,6,Liverpool,36,29,6,12,0.43,0.43,6,0.22,0.22,2491,27.7,HUN,7.3,0.27,14.7,0.53,0,0,Dominik Szoboszlai,MF,72,131,127,7.3,7.4,0.27,0.27,0.53
30,1,0.04,1,3,Liverpool,33,29,0,1,0.04,0.04,0,0.0,0.0,2482,27.6,SCO,1.2,0.04,5.8,0.21,0,0,Andrew Robertson,DF,64,176,108,1.2,4.6,0.17,0.04,0.21
31,0,0.0,0,0,Liverpool,28,28,0,0,0.0,0.0,0,0.0,0.0,2508,27.9,BRA,0.0,0.0,0.6,0.02,0,0,Alisson,GK,0,1,0,0.0,0.6,0.02,0.0,0.02
27,5,0.19,0,2,Liverpool,36,28,13,18,0.68,0.68,13,0.49,0.49,2399,26.7,COL,12.0,0.45,17.1,0.64,0,0,Luis Díaz,FW,108,110,293,12.0,5.0,0.19,0.45,0.64
25,6,0.23,0,5,Liverpool,33,28,3,9,0.34,0.34,3,0.11,0.11,2365,26.3,ENG,1.9,0.07,9.2,0.35,0,0,Trent Alexander-Arnold,DF,51,232,94,1.9,7.3,0.28,0.07,0.35
25,4,0.19,0,5,Liverpool,35,23,10,14,0.65,0.65,10,0.47,0.47,1935,21.5,NED,7.1,0.33,11.5,0.53,0,0,Cody Gakpo,FW,59,52,278,7.1,4.4,0.2,0.33,0.53
23,3,0.16,1,3,Liverpool,33,19,3,6,0.32,0.32,3,0.16,0.16,1712,19.0,ENG,4.3,0.23,5.4,0.29,0,0,Curtis Jones,"MF,DF",30,117,79,4.3,1.1,0.06,0.23,0.29
27,3,0.23,0,2,Liverpool,26,14,6,9,0.68,0.68,6,0.45,0.45,1196,13.3,POR,7.9,0.6,9.8,0.74,0,0,Diogo Jota,FW,37,34,88,7.9,1.8,0.14,0.6,0.74
25,0,0.0,0,0,Liverpool,10,10,0,0,0.0,0.0,0,0.0,0.0,900,10.0,IRL,0.0,0.0,0.0,0.0,0,0,Caoimhín Kelleher,GK,0,0,0,0.0,0.0,0.0,0.0,0.0
28,1,0.11,0,2,Liverpool,18,9,0,1,0.11,0.11,0,0.0,0.0,837,9.3,GRE,0.4,0.04,2.5,0.27,0,0,Kostas Tsimikas,DF,17,76,43,0.4,2.1,0.23,0.04,0.27
25,2,0.16,0,8,Liverpool,30,8,5,7,0.56,0.56,5,0.4,0.4,1133,12.6,URU,5.8,0.46,7.1,0.57,0,0,Darwin Núñez,FW,23,27,78,5.8,1.3,0.1,0.46,0.57
21,2,0.24,0,4,Liverpool,19,7,0,2,0.24,0.24,0,0.0,0.0,754,8.4,NIR,0.7,0.08,2.1,0.25,0,0,Conor Bradley,DF,35,33,39,0.7,1.4,0.17,0.08,0.25
27,0,0.0,0,1,Liverpool,9,6,0,0,0.0,0.0,0,0.0,0.0,519,5.8,ENG,0.3,0.06,0.4,0.08,0,0,Joe Gomez,DF,5,35,2,0.3,0.1,0.02,0.06,0.08
21,0,0.0,0,2,Liverpool,13,4,0,0,0.0,0.0,0,0.0,0.0,495,5.5,ENG,0.1,0.02,0.2,0.04,0,0,Jarell Quansah,DF,3,19,4,0.1,0.1,0.02,0.02,0.04
21,2,0.49,0,1,Liverpool,18,2,1,3,0.73,0.73,1,0.24,0.24,371,4.1,ENG,1.8,0.43,2.8,0.69,0,0,Harvey Elliott,MF,10,44,30,1.8,1.1,0.26,0.43,0.69
31,0,0.0,0,0,Liverpool,20,1,0,0,0.0,0.0,0,0.0,0.0,273,3.0,JPN,0.0,0.0,0.1,0.02,0,0,Wataru Endo,"MF,DF",1,19,8,0.0,0.1,0.02,0.0,0.02
26,0,0.0,0,0,Liverpool,6,1,0,0,0.0,0.0,0,0.0,0.0,108,1.2,ITA,0.3,0.28,0.5,0.43,0,0,Federico Chiesa,FW,3,3,7,0.3,0.2,0.15,0.28,0.43
